TDS,Ec,PH,Co3,Hco3,Cl,So4,Ca,mg,na,K,TH,WQI
4095,6500,7.68,0,4,49.9,8.46,7.75,6.65,47.65,0.3,720,396.9018468
2155,3420,7.92,0,4.95,22.2,5.45,5.3,4,21.6,0.15,465,223.5657658
1940,3080,7.9,0,7.47,17.7,4.56,6.59.75,0.2,402.5,209.1637387
1449,2300,7.8,0,4.53,12.35,3.91,2.35,5.55,12.2,0.18,395,159.0998649
1682,2670,7.8,0,8.1,14.65,5.61,4.4,4,13.34,0.1,420,191.0121171
1147,1820,7.79,0,3.48,9.55,3.38,3.95,2.85,9.86,0.07,340,130.0842793
3667,5820,7.63,0,4.07,42.15,8.32,8.45,6.2,37.9,0.2,732.5,358.3212162
3175,5040,7.94,0,3.87,35.25,7.23,6.4,6.85,28,0.2,662.5,308.7958108
2917,4630,7.77,0,4.61,30.35,8.63,7.02,6.25,28.05,0.15,663.5,296.5837838
2866,4550,7.99,0,3.82,30.75,7.14,6.75,5.6,26.7,0.1,617.5,282.665
3748,5950,7.65,0,4.44,43.65,7.1,5.7,6.7,28.26459596,0.2,620,342.000907
2274,3610,8,0,5.1,24.45,5.42,5.4,4.3,24.66,0.14,485,236.4895946
2073,3290,7.81,0,4.93,21.3,4.1,5.65,3.8,20.2,0.14,472.5,214.5444144
1707,2710,7.72,0,4.6,16.35,3.35,4.75,3.55,17.4,0.11,415,180.8218468
1348,2140,7.65,0,4.04,1.85,3,3.7,3.2,14.14,0.11,345,133.2333784
712,1130,7.87,0,3.66,5.3,1.78,3,1.9,5.74,0.07,245,90.55171171
1184,1880,7.91,0,4,11.7,2.1,3.4,2.7,11,0.1,305,131.722973
2942,4670,7.61,0,4.2,33.85,6.5,5.3,4.5,38.7,0.14,490,290.2596847
3131,4970,7.9,0,3.81,36.3,4.81,6.25,4.9,36.5,0.14,557.5,300.1742342
3062,4860,7.67,0,3.76,33.65,7,7.2,6.45,32,0.11,682.5,304.5931081
3668,4870,7.92,0,3.17,33.3,7.4,7.75,5.25,36.1,0.12,650,321.7812613
3993,4910,7.7,0,4.2,31.7,7.1,7.9,6.45,32.2,0.14,717.5,333.2797297
2929,4650,7.85,0,3.65,34.5,6.3,7.7,6,27.4,0.14,685,295.2301802
4769,7570,7.94,0,3.83,60.8,7.1,6.3,8.45,52.2,0.2,737.5,438.8926126
1726,2740,7.7,0,4.67,17.15,3.34,3.95,4.15,17.4,0.1,405,181.3438288
636,1010,7.99,0,3.38,4.45,1.53,2.1,2.8,4.62,0.07,245,83.07536036
1273,2020,7.83,0,3.78,13,1.97,3.7,2.5,12.5,0.14,310,138.9395495
3749,5950,7.94,0,3.54,44.5,5.6,6.5,5.2,44.24,0.3,585,351.493964
2998,4600,7.49,0,5.12,33,5.3,7.9,6.3,35,0.2,710,306.8569369
2854,4530,7.82,0,4.92,31.4,5.1,7.4,6.5,31.1,0.2,695,294.0564865
4643,7370,7.21,0.002885906,4.92,68.5,7.2,9.3,6.65,60,0.3,797.5,463.9800853
2192,3480,7.83,0.002885906,4.46,25.1,5,8.75,0.55,22.7,0.14,465,229.6466618
1840,2920,7.91,0,4.58,20,4.2,4.9,3.8,18.1,0.12,435,196.3894595
1474,2340,7.81,0,3.9,15.35,3.4,3.75.57.18,0.1,325,159.4194144
825.9,1311,7.81,0,3.65,7.45,2.4,3.4,2,7.72,0.07,270,103.9386937
1304,2070,7.71,0,4.3,13.35,2.44,2.2,1.1,14.14.165,131.6381532
1249,1982,7.77,0,3.81,12.8,1.9,3.7.53.48,0.1,307.5,137.3895495
4290,6810,7.73,0,4.17,55,5.97,7.9,6.25,53.8,0.25,707.5,410.152973
3119,4950,7.81,0,4.17,37.25,4.9,6.5,6.75,35.45,0.2,662.5,311.1312613
2961,4700,7.74,0,4.74,36.5,7.87,7.8,6.65,31.97,0.3,722.5,317.6112162
4498,7140,7.71,0,3.47,60,7.83,8.3,7.2,54.81,0.35,775,437.0278829
2047,3250,7.57,0,3.75,22,3.9,4.9,3.5,22.77,0.2,420,208.7639189
1266,2010,7.83,0,4.13,12.45,3.4,3.7,3.2,12.61,0.14,345,145.6215315
825,1309,7.81,0,3.78,7.5,2.4,3.2,1.85,7.57,0.12,252.5,103.7786036
1080,1765,7.91,0,3.03,12.39,1.43,3.03,4.41.16,351.5,352.8863514
4160,7180,8.36,0.33,3.08,55.06,3.85,7.9,6.3,48.17,0.36,710,399.4470721
2610,4420,8.1,0,2,40.56,1.28,5.58,7.02,30.95,0.28,630,275.3131982
2460,4170,7.96,0,2.51,33.93,4.43,5.26,6.84,29,0.23,605,264.2177928
2920,4970,7.64,0,3.6,39.65,5.54,7.1,7.3,34.69,0.25,720,314.2721622
2610,4520,7.36,0,4.43,38.77,1.11,7.91,8.71,27.91,0.23,831,294.1713514
1980,3380,7.69,0,4.63,26.35,2.27,5.98,5.42,22,0.22,570,225.4726577
705,1120,8.01,0.3.9,5.4,5.3,2.15,2.04,0.1,372.5,100.8736036
1540,2590,7.89,0,3.51,19.31,2.54,4.19,3.61,17.73,0.28,390,175.4212613
831,1320,7.91,0,4.13,6.65,1.91,2.7,3.05,7,0.2,287.5,106.394009
1052,1670,7.74,0,4.29,9.65,2.1,2.4,3.6,10.11,0.2,300,124.2882883
1071,1700,7.91,0,4.12,9.7,2.1,3.3,2.4,9.54,0.2,285,123.6942342
1184,1880,7.94,0,3.35,10.15,3.81,3.45,3.4,10.54,0.2,342.5,136.5377928
2170,3257,7.77,0,3.97,39.6,4.9,5.9,4.85,43.27,0.3,537.5,271.9195045
3723,5910,7.79,0,2.44,46,2.49,7.5,7,39.47,0.3,725,348.073018
2331,3700,7.74,0,4.7,24.65,6.67,4.7,4.5,23.64,0.2,460,238.5952703
1184,1880,7.71,0,4.2,10.85,3.79,3.7.50.35,0.14,302.5,135.6001802
995.4,1580,7.71,0,4,8.55,2.96,2.99,2.81,9.12,0.14,290,119.0740991
951,1510,7.74,0,4.2,8.2,2.96,2.4,3.1,8.9,0.14,275,115.6191892
4114,6530,7.67,0,4.5,51.1,7.7,3.89,9.76,49.2,0.3,682.5,394.7445946
1880,3120,7.97,0,3.3,19.59,6.92,5.39,5.12,19.43,0.36,525.5,215.4197297
4740,7870,7.24,0,4.2,71.05,1.94,8.38,8.23,60.61,0.38,830.5,462.939009
4813,7640,7.77,0,4,65.75,9.06,5.99,10.66,53.17,0.3,832.5,463.5189189
5210,8270,7.57,0,3.3,68.75,10.93,7.1,8.8,67.4,0.4,795,499.7122973
3301,5240,7.73,0,4.6,34.7,7.81,5.75,6.7,36.86,0.35,622.5,324.6913514
2104,3340,7.47,0,4.1,21.34,4.79,4.1,5.35,19.57,0.3,472.5,216.2438288
1795,2850,7.9,0,3.6,18.8,4.27,3.39,5.66,17.9,0.3,452.5,193.6865766
806,1280,7.96,0,4,6.45,2,2.1,3.25,7.3,0.25,267.5,104.2488739
1884,2990,7.9,0,4.4,21.05,3.12,3.69,3.86,22.48,0.3,377.5,198.7406757
1461,2320,7.47,0,4.4,11.95,3.74,5.9,7.65,7.13,0.17,677.5,177.827027
1726,2740,7.71,0,4.3,20.4,3.08,3.69,11.07,15.1,0.4,738,214.4638739
1644,2610,7.57,0,3.9,19.7,3.21,3.4,4.15,20.2,0.4,377.5,184.9164865
3213,5100,7.79,0,4,21.6,22.27,7.7,23,22.7.5535,401.7748649
2375,3770,7.77,0,3.7,26.65,6.45,3.9,6.1,24.1,0.5,500,248.7650901
3345,5310,7.79,0,5.2,40.7,4.41,5.1,7.7,38.1,0.5,640,333.4836036
3301,5240,7.71,0,5.3,40,8.11,4.09,7.51,37.7,0.4,580,332.548018
1644,2610,7.77,0,4.1,16.95,0.92,4.49,3.11,16.97,0.2,380,169.7043243
1090,1730,7.24,0,4.4,10,1.57,2.25,4,7.72,0.1,312.5,121.3457658
2457,3890,7.79,0,3.9,29.95,4.37,3.9,5.05,27.51,0.3,447.5,246.8303604
4064,6450,7.71,0,3,51.25,10.1,7,7.8,44.9,0.35,740,398.0542793
4391,6970,7.74,0,2.8,53,14.15,7.1,8.7,48.77,0.35,790,431.5855405
3389,5380,7.91,0,3.3,39.25,10.61,7,8.3,37.6,0.4,765,351.9022973
5941,9430,7.83,0,1.4,73.75,14.04,9.1,10.3,67.4,0.5,970,556.5229279
2400,3810,7.99,0,4.1,27.75,7.7,3.7,4.3,27.83,0.3,400,247.3516216
2318,3680,7.81,0,3,25.85,5.63,2.3,6.05,25.2,0.3,417.5,230.0019369
1625,2580,7.77,0,4.7,16,4.37,4.1,3.5,16.1,0.1,380,175.3018919
1335,2120,7.74,0,3.5,12.6,4.7,4.2.53.27,0.1,337.5,149.4265315
1247,1980,7.43,0,3,11.15,3.43,2,5.2,13.48,0.2,360,140.9526577
5569,8840,7.83,0,3,72.85,9.37,3.3,13.75,73.4,0.5,852.5,525.1345495
3773,5990,7.48,0,4.4,46.25,9.79,1.3,16.2,40.77,0.4,875,386.3116216
4246,6740,7.7,0.002885906,4.4,50.1,12.8,10,10.55,51.9.35027.5,447.0515267
3490,5540,7.7,0.002885906,4.7,37.75,13.01,5.23,13.87,40.77,0.3,955,379.2010762
4624,7340,7.79,0.002885906,3.8,53.5,11.55,7.73,10.77,52.5,0.3,925,452.1163916
3603,5720,7.7,0.002885906,4.9,43.25,10.93,4.74,9.27,40.33,0.25,700.5,364.9494546
3043,4830,7.79,0.002885906,4.7,33.65,9.98,6.23,8.27,34.79,0.25,725,322.9981934
