TDS,Ec,PH,Co3,Hco3,Cl,So4,Ca,mg,na,K,TH,WQI
1404.9,2230,7.41,0.002885906,4.2,13.35,4.58,3.7,4.25,13.48,0.2,397.5,161.7158961
7352,11670,8.03,0.002885906,3.7,93.5,10.41,7.73,15.77,78.3.5175,666.6765717
4063,6450,7.63,0.002885906,4.5,47,10.01,7.48,11.45,44.79,0.3,946.5,412.1879681
3780,6310,8.08,0.002885906,4.4,45.26,9.47,10.86,10.24.27055,403.8814366
920,1540,8.11,0.002885906,2.5,9.8,2.33,2.59,2.91,8.84,0.1,275,109.7243195
3420,5690,8.17,0.002885906,2,47.19,4.81,5.29,5.71,42.46,0.24,550,330.6309411
3420,7180,8.12,0.002885906,2,60.16,6.33,7.08,7.52,52.95,0.32,730,393.3755357
4120,6810,7.71,0,3.6,52.57,8.75,9.38,8.72,46.03,0.32,905,418.3772973
3620,5910,7.87,0,2,43.81,11.92,7.78,7.52,41.87,0.28,765,370.4736937
2120,3470,7.82,0,3.7,25.53,4.29,5.78,5.22,22.1,0.2,550,229.1607658
2330,3810,7.83,0,4.2,27.05,5.46,6.38,5.92,23.95,0.18,615,251.6403604
1470,2370,8.02,0,3.7,14.63,4.31,4.99,4.11,13.68,0.12,455,168.8467117
1860,3010,7.98,0,3.7,16.97,4.1,4.09,4.71,15.62,0.1,440,187.4346396
1760,2870,7.81,0,3.3,20.01,4.13,4.19,3.51,19.53,0.12,385,186.1384685
3390,5610,7.53,0,3.7,46.85,3.08,6.99,5.52,40.76,0.18,625.5,333.397973
4620,7570,7.44,0,3.2,63.47,6.35,7.19,8.43,57.43,0.32,781,445.5867568
2310,3770,7.38,0,4,28.36,3.75,6.29,5.32,24.44,0.22,580.5,245.5156757
1310,2130,7.66,0,3.6,13.45,3.33,4.29,3.11,13.06,0.14,370,150.0245495
2780,4540,7.42,0,4.2,33.67,6.08,6.59,5.42,31.93,0.22,600.5,288.2236036
4380,7160,7.54,0,4,57.82,8.02,9.18,7.63,52.95,0.32,840.5,436.4426577
4140,6730,7.61,0,5.6,48.57,12.17,11.18,12.65,42.46.36191.5,449.4067117
2040,3320,7.58,0,3.3,26.22,2.79,4.39,4.12,23.48,0.2,425.5,211.5707207
1350,2190,7.83,0,3.4,14.7,3.02,4.19.14.37,0.22,335,152.2009459
5160,8420,7.42,0,4,72.03,6.35,8.38,9.04,65.3,0,871,491.1862613
3920,6440,7.55,0,4,51.88,6.71,8.78,9.04,44.22,0.32,891,401.2824324
4610,7580,7.92,0,4.4,65.13,3.58,9.18,8.63,55.14,0.36,890.5,453.8739189
2190,3580,7.81,0,4,26.63,4.13,6.49,3.82,24.44,0.2,515.5,234.1261712
2560,4130,7.77,0,4.5,32.57,3.4,7.59,4.75,28.13,0.2,617,269.5011712
2380,3920,7.55,0,4,32.98,1.21,5.89,5.32,27,0.16,560.5,248.1561261
1780,2940,7.74,0,4.4,23.25,0.85,4.99,4.52,18.95,0.14,475.5,194.5801802
6790,11130,7.65,0,4.4,92.45,11.25,11.98,10.04,86.02.5101,653.5995045
4380,6990,7.56,0,4.8,48.57,14.63,11.78,12.25,44.22.28201.5,463.1061712
2680,4320,7.58,0,3.2,33.74,5.1,9.18,5.32,27.57,0.28,725,286.9076126
1460,2370,7.94,0,4.3,16.9,1.88,4.79,3.31,14.97,0.15,405,165.1115766
1660,2680,7.56,0,4,19.73,2.46,5.19.18.35,0.18,375,179.1241441
780,1262,7.53,0,3.52,7.42,1.25,3.63,1.57,7.01,0.1,260,97.84238739
2780,4480,7.49,0,3.6,35.33,4.71,6.09,5.02,32.65,0.2,555.5,280.902973
5070,8290,7.92,0,5.2,73.96.61.58,8.63,61.16.36010.5,501.0418018
3450,5560,7.72,0,4.4,41.81,8.44,9.58,8.43,36.71,0.14,900.5,362.8872072
3180,5100,7.78,0,4.8,36.84,8.19,9.18,8.03,32.65,0.18,860.5,338.726982
4010,6490,7.25,0,5.2,45.81,12.71,11.98,11.04,40.76.28151,433.6019369
4100,6680,7.66,0,5.2,55.89,4.06,12.78,9.24,43.33.32101,429.900991
5140,8320,7.59,0,4.8,72.03,4.96,12.78,10.24,58.63.4151,516.5424324
3910,6330,7.44,0,5.2,50.5,6.25,8.38,6.63,46.96,0.28,750.5,390.991982
2400,3880,7.81,0,4.4,28.63,4.69,6.89,5.92,24.93,0.22,640.5,259.190991
1100,1778,8.09,0,3.36,11.51,2.31,3.11.31.12,0.12,302,126.980045
1720,2770,7.44,0,3.3,20.01,3.5,3.79,4.12,18.88,0.17,395.5,183.114009
729,1248,7.77,0,5.44,3.49,5,10.4,1.02,2.5,0.02,571,130.7249099
3800,5650,8.05,0,2.6,56.3,7.14,9.25,7.14,48.55,0.21,819.5,390.6224775
4454,6852,8,0,4.2,55,10.2,2.8,12,54.55,0.2,740,424.8759009
5892,9820,7.59,0,4.08,90.22,5.08,1.28,12.81,85.6,0.25,704.5,552.4267568
2360,3630,7.74,0,3.84,31.59.1.54,5.42,31.32,0.08,348,229.478964
2430,3740,7.96,0,4.04,32.2,3.03,0.88,3.63,34.61,0.13,225.5,228.3704054
1730,2660,7.97,0,3.22,24.3.22.39,5.1,21.1,0.18,324.5,175.2016216
6600,10140,8.13,0,2.8,103.5,0.08,4.15,8.62,92.4,1.23,638.5,600.5143243
4180,6440,7.76,0,6.26,62.61,0.03,6.21,5.8,56.8,0.14,600.5,396.934009
4975,7650,7.59,0,2.16,76.03,0.58,6,5.57,67.14,0.12,578.5,443.4118468
4045,6220,7.47,0,2.48,64.51,0.14,3.44,6.67,56.73,0.31,505.5,375.498018
1935,2979,7.86,0,2.9,25.25,0.12,0.54,6.49,21.05,0.16,351.5,184.5901802
1820,2800,7.35,0,2.3,24.21,0.13,4.29.29.92,0.18,325.5,175.8994144
1610,2474,7.78,0,2.05,21.4,0.62,3.34.47.91,0.19,299,159.7625676
5150,7920,8.12,0,2.4,58.9,12.4,8.8,6.83,57.3,0.8,781.5,481.5720721
5150,7920,8.12,0,2.4,58.9,12.4,8.8,6.83,57.3,0.8,781.5,481.5720721
