TDS,Ec,PH,Co3,Hco3,Cl,So4,Ca,mg,na,K,TH,WQI
4687.2,7440,7.9,0,2.8,63.25,7.81,3.99,7.01,58.4,0.4,550,430.8572523
2220,3690,8.08,0,4.4,28.42,2.83,5.39,5.02,25.26,0.28,520.5,238.7603604
8920,14830,8.05,0,4,138.8,2.5,13.17,10.83,121.21,0.61,1200,830.5156306
497.7,790,7.47,0,4.5,46.5,7.08,5.49,8.31,38.93,0.35,690,230.1688739
3220.1,5270,7.77,0,5,37.9,6.67,4.95,7,30.4,0.35,597.5,317.1379279
1172,1860,7.91,0,4.2,10.55,3.91,1.7,4.5,10.44,0.2,310,135.6995045
1430.1,2270,7.77,0,3.9,14.8,1.33,2.89,2.86,16.97,0.2,287.5,149.7273423
5870,9998,7.91,0,3,137.5,4.1,8.3,12,124.7,0.5,1015,686.1684685
2664,4230,7.71,0,4.5,32.75,6.87,4.9,5.6,26.4,0.2,525,271.5611261
1153,1830,7.74,0,3.9,10.55,3.33,1.9,3.5,10.51,0.1,270,127.168018
1209,1920,7.79,0,4.7,10.4,4.1,3.2,4.6,12.4,0.2,390,148.2900901
1127.7,1790,7.44,0,3.6,11.25,2.61,2.4,3.4,11.41,0.2,290,128.8287387
1140,1810,7.56,0,3.4,11.4,2.58,2,2.85,10.1,0.2,242.5,123.6710811
12505,19850,7.59,0,3.3,183.5,14.1,8.73,25.45,145.1,0.9,1709,1128.892793
22642,35940,7.77,0,2.9,391,33.31,17.7,25.9,341,1.2,2180,2123.757477
24129,38300,7.79,0,3.7,417.5,10.41,17.9,27,438.9,1.4,2245,2266.851171
3824,6070,7.9,0,5.6,48.5,8.1,2.3,9.05,48.3,1,567.5,387.6414414
3874,6150,7.15,0,4.9,42.75,4.04,5.7,7.55,41.7,0.9,662.5,369.6215766
2009,3190,7,0,4.2,20.6,7.29,4.1,5.7,21.2,0.25,490,219.4362162
2066,3280,7.7,0,4.4,22.05,6.15,5.23,3.42,22.55,0.25,432.5,219.818018
1581,2510,7.39,0,4.9,15.5,4.9,1.4,6.2,16.74,0.25,380,176.2093694
1714,2720,7.47,0,4,17.4,5.41,3.3,4.7,17.61,0.25,400,186.6001351
1247,1980,7.49,0,4.2,11.4,1.21,3.1,3.5,10.44,0.2,330,135.1488288
1404,2240,7.91,0,3.6,13.6,4.12,3,3.95,11.31,0.2,347.5,153.0085135
14427,22900,7.91,0,2.1,175,13.53,1.1,42.7,179.43,0.7,2190,1251.594099
125370,199000,7.9,0.010445344,2,149,15.61,9.23,48.27,141.4,0.7,2875,5829.426668
11056,17550,7.74,0.010445344,4.5,147,23.94,4.99,23.27,123,0.5,1413,991.6846861
3742,5940,7.9,0.010445344,3.4,42,9.99,2.99,9.11,37.51,0.4,605,353.4584249
153.9,2430,7.99,0.010445344,2.5,14.55,7.29,1.7,3.2,13.48,0.3,245,122.0513979
