TDS,Ec,PH,Co3,Hco3,Cl,So4,Ca,mg,na,K,TH,WQI
296.1,470,7.62,0,3.6,0.7,0.92,2.5,1.2,1.0785,54.60189189
6898,10950,7.9,0,2.1,96.5,10.41,5.74,8.27,90.81,0.7,700.5,623.5843694
840,1384,8.18,0,3.36,6.45,2.87,3.11,2.81,7.13,0.13,296,106.7887387
1619,2570,7.94,0,3.9,10.5,6.14,5.24,3.51,15.11,0.14,437.5,174.6842793
1247,1980,7.71,0,3.5,9.7,5.1,3.29,5.46,10.87,0.12,437.5,148.1332883
850.5,1350,7.87,0,5.1,5.25,3.41,2.9,4.1,5.95,0.1,350,114.2637838
359,570,7.91,0,2.7,1.35,2.08.51.47,0.07,215,62.22711712
347,550,7.79,0,3.2,1.5,1.36.79.0792.5,58.95058559
1455,2310,7.54,0,2.6,14.7,6.14,4.1.54.1,0.2,322.5,159.5344144
346.5,550,7.72,0,3.6,1.2,1.31.81.32,0.1,215,62.53693694
315,500,7.57,0,3.3,0.9,0.95,2.9,1.8,1.2,0.1,235,59.77252252
334,530,7.53,0,3.7,1,1.07,3,1.45,1.21,0.1,222.5,61.37563063
1147,1820,7.71,0,3.6,11.5,3.43,2.2,4.2,13.1,0.2,320,136.2048649
1134,1800,7.74,0,3,11.5,2.27,2.9,2.7,10.57,0.25,280,126.745991
863,1370,7.9,0,3.9,6.4,2.21,3.4,2.2,7.57,0.2,280,107.8051802
1241,1970,7.74,0,2.2,10.05,5.2,3.1,3.7,10.44,0.2,340,137.8019369
1342,2130,7.77,0,3.5,11.4,7.85,3.1,3.5,14.79,0.25,330,159.4005856
1304,2070,7.79,0,4.2,10.3,7.7,3.1,6.4,11.42,0.4,475,169.7281081
1386,2200,7.77,0,4.8,10.75,6.87,4.1,5.7,11.3,0.4,490,175.3552703
1342,2130,7.91,0,3.9,10.1,7,3.9,6.45,10.43,0.35,517.5,170.305
428.4,680,7.99,0,3.4,1.8,1.67,2.79,2.11,2.07,0.1,245,69.91265766
434.7,690,7.74,0,3.7,1.7,1.62,1.7,2.3,2.27,0.07,200,65.82121622
422,670,7.7,0,3.4,1.8,1.79,2,2.7,2.07,0.07,235,67.65283784
371.7,590,7.72,0.9.6,1.31,1.9,2,1.61.0795,57.39238739
283.5,450,7.73,0,2.7,0.55,0.97,2.7,1.1,0.67.0390,50.53900901
359,570,7.61,0.95.37,1.9.5.17,0.07,212.5,60.62054054
932.4,1480,7.58,0,3.5,6.8,4.47,1.7,4.95,8.1,0.2,332.5,118.8694595
1014,1610,7.47,0.011803279,4.1,5.8,5.9,3.2,5.55,7.17,0.2,437.5,134.9542305
1163,1846,7.57,0.011803279,3.4,8.6,6.55,4.7,3.6,9.24,0.25,415,146.8483296
648.9,1030,7.51,0.011803279,3.6,3.75,2.95,2.59,2.91,4.53,0.2,275,91.90905036
760,1242,8.05,0,4.16,4.47,3.29,4.79,2.45,4.6,0.12,362,107.9982432
710,1172,7.84,0,4.28,3.97,2.97,3.87,2.93,4.24,0.1,340,101.4806757
390,644,7.91,0,3.56,1.21,1.41.9.53,1.53,0.08,226,65.19252252
480,782,8.07,0,3.8,1.73,2,3.23,1.89,2.21,0.08,256,75.28657658
600,986,8.03,0,3.96,3,2.52,3.79,2.21,3.29,0.08,300,88.90211712
